Title,Congress,House,Sponsor,SponsorParty,LatestAction,LatestActionMonth,LatestActionDay,LatestActionYear,URL
"A bill to amend title II of the Social Security Act to eliminate the special dependency requirements for entitlement to husband's and widower's insurance benefits, to provide benefits for widowed fathers with minor children, and to make certain other changes so that benefits for husbands, widowers and fathers will be payable on the same basis as benefits for wives, widows, and mothers.",94,House,DON BONKER,D,Referred to House Committee on Ways and Means.,7,28,1975,NA
"A bill to amend title 38 of the United States Code to increase the monthly pension of Congressional Medal of Honor holders to $400, and to provide a similar pension to widows of individuals who were awarded such medal posthumously.",94,House,JAMES BURKE,D,Referred to House Committee on Veterans' Affairs.,7,25,1975,NA
"A bill to direct the National Commission on the Observance of International Women's Year, 1975, to organize and convene a National Women's Conference.",94,House,BELLA ABZUG,D,Referred to House Committee on Government Operations.,7,24,1975,NA
A bill to authorize the 101st Airborne Division Association to erect a memorials in the District of Columbia or its environs.,94,House,SAM GIBBONS,D,Referred to House Committee on House Administration.,7,22,1975,NA
"Joint resolution designating August 26, of each year as ""Women's Equality Day"" and establishing such day as a legal public holiday.",94,House,BELLA ABZUG,D,Referred to House Committee on Post Office and Civil Service.,7,18,1975,NA
"A bill to amend title 38 of the United States Code in order to make certain individuals eligible for war orphans' and widows educational assistance if the veteran concerned has no children, wife, or widow.",94,House,FREDERICK RICHMOND,D,Referred to House Committee on Veterans' Affairs.,7,17,1975,NA
"A bill to amend the Social Security Act to provide that the term ""dependent child"" includes a needy child living with the father, mother, or any other relative, of such child.",94,House,ROBERT DRINAN,D,Referred to House Committee on Ways and Means.,7,16,1975,NA
Joint resolution proposing an amendment to the Constitution fo the United States for the protection of unborn children and other persons.,94,House,ROMANO MAZZOLI,D,Referred to House Committee on the Judiciary.,7,16,1975,NA
A bill to provide for the payment of survivor annuities to widows of certain members of the uniformed services who died before the effective date of the Survivor Benefit Plan.,94,Senate,HUGH SCOTT,R,Referred to Senate Committee on Armed Services.,7,15,1975,NA
"A bill to amend title 38 of the United States Code so as to entitle veterans of the Mexican border period and of World War I and their widows and children to pension on the same basis as veterans of the Spanish-American War and their widows and children, respectively, and to increase pension rates.",94,House,PETE STARK,D,Referred to House Committee on Veterans' Affairs.,7,14,1975,NA
A bill to amend the Railroad Retirement Act of 1974 with respect to the annuities payable under such Act to the widows of retired railroad employees.,94,House,CLAUDE PEPPER,D,Referred to House Committee on Interstate and Foreign Commerce.,7,11,1975,NA
"A bill to amend the Public Health Service Act to provide for research information projects and programs respecting amniocentesis, to provide for research on other methods of detecting birth defects, to provide assistance  for programs of genetic counseling, and to provide financial assistance for the performance of amniocentesis on women unable to pay therefor.",94,House,YVONNE BURKE,D,Referred to House Committee on Interstate and Foreign Commerce.,7,9,1975,NA
"A bill to amend the Public Health Service Act to provide for research information projects and programs respecting amniocentesis, to provide for research on other methods of detecting birth defects, to provide assistance for programs of genetic counseling, and to provide financial assistance for the performance of amniocentesis on women unable to pay therefor.",94,House,YVONNE BURKE,D,Referred to House Committee on Interstate and Foreign Commerce.,7,9,1975,NA
"A bill to amend title 38 of the United States Code so as to entitle veterans of the Mexican border period and World War I and their widows and children to pension on the same basis as veterans of the Spanish-American War and their widows and children, respectively, and to increase pension rates.",94,House,JOHN SLACK,D,Referred to House Committee on Veterans' Affairs.,7,8,1975,NA
"A bill to amend title 18 of the United States Code to prohibit certain forms of economic coercion based on religion, race, national origin, sex, or certain other factors.",94,House,ELIZABETH HOLTZMAN,D,Referred to House Committee on the Judiciary.,7,8,1975,NA
A bill relating to the admission of female individuals to the Coast Guard Academy.,94,House,LESTER WOLFF,D,Referred to House Committee on Merchant Marine and Fisheries.,7,8,1975,NA
The submission of a concurrent resolution authorizing the printing of additional copies of Senate hearings on proposed constitutional amendments to limit abortions.,94,Senate,BIRCH BAYH,D,Measure passed House.,6,26,1975,NA
"A bill to provide that the sons and daughters of recipients of the Distinguished Service Cross, the Navy Cross, or the Air Force Cross may be admitted to the service academies on the same basis as sons and daughters of recipients of the Congressional Medal of Honor.",94,House,JOHN MURPHY,D,Referred to House Committee on Armed Services.,6,26,1975,NA
A resolution to commend the International Ladies' Garment Workers Union on its 75th anniversary.,94,Senate,HARRISON WILLIAMS,D,Measure passed Senate.,6,25,1975,NA
Joint resolution proposing an amendment to the Constitution to permit the States to regulate or forbid abortion.,94,House,WILLIAM HUNGATE,D,Referred to House Committee on the Judiciary.,6,24,1975,NA
A bill to amend title II of the Social Security Act to reduce from 20 to 10 years the period of time that a divorced woman's marriage to an individual must have lasted for her to qualify for wife's or widow's benefits on the basis of wages and self-employment income of such individual.,94,Senate,THOMAS EAGLETON,D,Referred to Senate Committee on Finance.,6,24,1975,NA
A bill to incorporate the Gold Star Wives of America.,94,Senate,BIRCH BAYH,D,Referred to Senate Committee on the Judiciary.,6,24,1975,NA
"A bill to amend title 18 of the United States Code to prohibit certain forms of economic coercion based on religion, race, national origin, sex, or certain other factors.",94,House,ELIZABETH HOLTZMAN,D,Referred to House Committee on the Judiciary.,6,20,1975,NA
"Concurrent resolution to disapprove certain sections of the Department of Health, Education, and Welfare regulations relating to nondiscrimination on the basis of sex in education programs and activities receiving or benefiting from Federal financial assistance applicable to athletic programs and grants.",94,House,JAMES MARTIN,R,Referred to House Committee on Education and Labor.,6,19,1975,NA
War Resisters Exoneration Act,94,House,BELLA ABZUG,D,Referred to House Committee on the Judiciary.,6,18,1975,NA
"Concurrent resolution to disapprove certain sections of the Department of Health, Education, and Welfare regulations relating to nondiscrimination on the basis of sex in education programs and activities receiving or benefiting from Federal financial assistance applicable to athletic programs and grants.",94,House,JAMES MARTIN,R,Referred to House Committee on Education and Labor.,6,17,1975,NA
"Concurrent resolution to disapprove the regulations of the Department of Health, Education, and Welfare relating to nondiscrimination on the basis of sex in education programs and activities receiving or benefiting from Federal financial assistance.",94,House,JAMES MARTIN,R,Referred to House Committee on Education and Labor.,6,17,1975,NA
"A bill to amend titles XVIII, XIX, and V of the Social Security Act to eliminate altogether any requirement that an institution have in effect a utilization review plan in order to qualify for participation in the medicare, medicaid, or maternal and child health and crippled children's services program.",94,House,W. MOORE,R,Referred to House Committee on Interstate and Foreign Commerce.,6,16,1975,NA
Resolution designating the 23d day of June as International Ladies Garment Workers Union Day.,94,House,CARL PERKINS,D,Referred to House Committee on Post Office and Civil Service.,6,16,1975,NA
Concurrent resolution expressing the sense of the Congress with respect to International Women's Year.,94,House,DONALD FRASER,D,Referred to House Committee on International Relations.,6,12,1975,NA
Concurrent resolution expressing the sense of the Congress with respect to International Women's Year.,94,House,DONALD FRASER,D,Referred to House Committee on International Relations.,6,10,1975,NA
Concurrent resolution expressing the sense of Congress with respect to International Women's Year.,94,House,DONALD FRASER,D,Referred to House Committee on International Relations.,6,10,1975,NA
Concurrent resolution expressing the sense of the Congress with respect to International Women's Year.,94,House,DONALD FRASER,D,Referred to House Committee on International Relations.,6,10,1975,NA
Joint resolution proposing an amendment to the Constitution of the United States with respect to State laws relating to the termination of pregnancy.,94,Senate,WILLIAM SCOTT,R,Referred to Senate Committee on the Judiciary.,6,6,1975,NA
A bill to amend title 38 of the United States Code in order to provide service pension to certain veterans of World War I and pension to the widows of such veterans.,94,House,LOUIS FREY,R,Referred to House Committee on Veterans' Affairs.,6,5,1975,NA
Joint resolution proposing an amendment to the Constitution of the United States with respect to abortion.,94,House,EDWIN ESHLEMAN,R,Referred to House Committee on the Judiciary.,6,5,1975,NA
A concurrent resolution relating to nondiscrimination on the basis of sex.,94,Senate,JESSE HELMS,R,Referred to Senate Committee on Labor and Public Welfare.,6,5,1975,NA
"A bill to amend the Internal Revenue Code of 1954 to provide that pensions paid to retired policemen and firemen or their dependents, or to the widows or other survivors of deceased policemen and firemen, shall not be subject to the income tax.",94,House,JOSHUA EILBERG,D,Referred to House Committee on Ways and Means.,6,4,1975,NA
A bill to amend title 38 of the United States Code in order to provide service pensions to certain veterans of World War I and pensions to the widows of such veterans.,94,House,CLARENCE MILLER,R,Referred to House Committee on Veterans' Affairs.,6,3,1975,NA
"A bill to continue the special supplemental food program for women, infants, and children through September 30, 1975.",94,House,GEORGE MILLER,D,Public law 94-28.,5,28,1975,https://www.congress.gov/94/statute/STATUTE-89/STATUTE-89-Pg96.pdf
"A bill to continue the special supplemental food program for women, infants, and children through September 30, 1975.",94,Senate,HUBERT HUMPHREY,D,Measure indefinitely postponed in Senate (companion bill H.R. 7136 passed).,5,22,1975,NA
"A bill to amend titles XVIII, XIX, and V of the Social Security Act to eliminate altogether any requirement that an institution have in effect a utilization review plan in order to qualify for participation in the medicare, medicaid, or maternal and child health and crippled children's services program.",94,House,W. MOORE,R,Referred to House Committee on Interstate and Foreign Commerce.,5,22,1975,NA
"A joint resolution authorizing and requesting the President to issue a proclamation designating June 23, 1975, as ""International Ladies' Garment Workers' Union Day"" to celebrate the occasion of the 75th anniversary of that union.",94,Senate,HARRISON WILLIAMS,D,Referred to Senate Committee on the Judiciary.,5,22,1975,NA
Equal Rights for Women Act,94,House,PATSY MINK,D,Referred to House Committee on the Judiciary.,5,22,1975,NA
A bill to amend chapters 34 and 35 of title 38 of the United States Code in order to entitle veterans and widows and surviving children of veterans to a maximum of 45 months of educational assistance.,94,House,LESTER WOLFF,D,Referred to House Committee on Veterans' Affairs.,5,21,1975,NA
A bill to amend title II of the Social Security Act to reduce from 20 to 10 years the length of time a divorced women's marriage to an insured individual must have lasted in order for her to qualify for wife's or widow's benefits on his wage record.,94,House,EDWARD KOCH,D,Referred to House Committee on Ways and Means.,5,21,1975,NA
"A resolution to send a congressional delegation to the International Women's Year Conference in Mexico City, June 19, 1975, to July 2, 1975.",94,House,RAY MADDEN,D,Measure passed House.,5,20,1975,NA
"Resolution to send a congressional delegation to the International Women's Year Conference in Mexico City, June 19, 1975, to July 2, 1975.",94,House,YVONNE BURKE,D,Measure passed House.,5,20,1975,NA
Resolution creating a select committee to study the impact and ramifications of the Supreme Court decision on abortion.,94,House,SILVIO CONTE,R,Referred to House Committee on Rules.,5,20,1975,NA
A bill to offer women nominated by Members of the United States Senate and House of Representatives scholarships for training in the Reserve Officers' Training Corps.,94,House,DAVID TREEN,R,Referred to House Committee on Armed Services.,5,19,1975,NA
"A bill to amend title 18 of the United States Code to prohibit certain forms of economic coercion based on religion, race, national origin, sex, or certain other factors.",94,House,ELIZABETH HOLTZMAN,D,Referred to House Committee on the Judiciary.,5,19,1975,NA
A bill to authorize the establishment of the Edison Birthplace National Historic Site.,94,Senate,ROBERT TAFT,R,Referred to Senate Committee on Interior and Insular Affairs.,5,19,1975,NA
"A bill to amend the Internal Revenue Code of 1954 to provide that pensions paid to retired policemen or firemen or their dependents, or to the widows or other survivors of deceased policemen or firemen shall not be subject to the income tax.",94,House,BENJAMIN GILMAN,R,Referred to House Committee on Ways and Means.,5,15,1975,NA
Joint resolution proposing an amendment to the Constitution of the United States for the protection of unborn children and other persons.,94,House,MICHAEL BLOUIN,D,Referred to House Committee on the Judiciary.,5,13,1975,NA
A concurrent resolution expressing the sense of the Congress that Mother Teresa of Calcutta deserves the 1975 Nobel Peace Prize for her service to humanity.,94,House,DANIEL FLOOD,D,Referred to House Committee on International Relations.,5,13,1975,NA
"A bill to amend title II of the Social Security Act to eliminate the special dependency requirements for entitlement to husband's and widower's insurance benefits, to provide benefits for widower fathers with minor children, to make certain other changes so that benefits for husbands, widowers, and fathers will be payable on the same basis as benefits for wives, widows, and mothers, and to permit the payment of benefits to a married couple on their combined earnings record where that method of computation provides a higher combined benefit.",94,Senate,BIRCH BAYH,D,Referred to Senate Committee on Finance.,5,13,1975,NA
Maternal and Child Health and Crippled Children's Services and Medicaid Cost Control Amendments,94,Senate,CARL CURTIS,R,Referred to Senate Committee on Finance.,5,13,1975,NA
A bill to amend the Railroad Retirement Act of 1974 with respect to the entitlement under such act of certain remarried widows and divorced wives of railroad employees.,94,House,JAMES OBERSTAR,D,Referred to House Committee on Interstate and Foreign Commerce.,5,7,1975,NA
A bill to amend title II of the Social Security Act to reduce from 20 to 5 years the length of time a divorced woman's marriage to an insured individual must have lasted in order for her to qualify for wife's or widow's benefits on his wage record.,94,House,MARK HANNAFORD,D,Referred to House Committee on Ways and Means.,5,6,1975,NA
A bill to provide for hospitals to allow the biological father to attend the birth of his child if the woman consents.,94,House,JAMES CORMAN,D,Referred to House Committee on Interstate and Foreign Commerce.,5,6,1975,NA
"A bill to amend title 18 of the United States Code to prohibit certain forms of economic coercion based on religion, race, national origin, sex, or certain other factors.",94,House,ELIZABETH HOLTZMAN,D,Referred to House Committee on the Judiciary.,5,5,1975,NA
Concurrent resolution expressing the sense of the Congress with respect to International Women's Year.,94,House,MANUEL LUJAN,R,Referred to House Committee on Post Office and Civil Service.,5,5,1975,NA
"A bill to amend section 106 of title 38, United States Code, to deem certain service performed by members of the Women's Air Force Service Pilots to have been active duty for purposes of laws administered by the Veterans' Administration.",94,House,PATSY MINK,D,Referred to House Committee on Veterans' Affairs.,5,1,1975,NA
Concurrent resolution expressing the sense of the Congress with respect to International Women's Year.,94,House,CHARLES CARNEY,D,Referred to House Committee on Post Office and Civil Service.,5,1,1975,NA
"A bill to amend title 18 of the United States Code to prohibit certain forms of economic coercion based on religion, race, national origin, sex, or certain other factors.",94,House,ELIZABETH HOLTZMAN,D,Referred to House Committee on the Judiciary.,4,30,1975,NA
"A bill to amend title 18 of the United States Code to prohibit certain forms of economic coercion based on religion, race, national origin, sex, or certain other factors.",94,House,ELIZABETH HOLTZMAN,D,Referred to House Committee on the Judiciary.,4,30,1975,NA
"A bill to amend the Internal Revenue Code of 1954 to provide that pensions paid to retired policemen or firemen or their dependents, or to the widows or other survivors of deceased policemen or firemen, shall not be subject to the income tax.",94,House,DONALD CLANCY,R,Referred to House Committee on Ways and Means.,4,30,1975,NA
Concurrent resolution expressing the sense of the Congress that Mother Teresa of Calcutta be recommended for nomination for the 1975 Nobel Peace Prize.,94,House,JOSEPH MCDADE,R,Referred to House Committee on International Relations.,4,30,1975,NA
"A bill to amend titles XVIII, XIX, and V of the Social Security Act to eliminate altogether any requirement that an institution have in effect a utilization review plan in order to qualify for participation in the medicare, medicaid, or maternal and child health and crippled children's services programs.",94,House,W. MOORE,R,Referred to House Committee on Interstate and Foreign Commerce.,4,29,1975,NA
A bill to establish a committee to be known as the International Women's Year American Women's Conference Planning Committee.,94,Senate,BIRCH BAYH,D,Referred to Senate Committee on Government Operations.,4,29,1975,NA
"A bill to continue the special food service program for children, the school breakfast program, and the special supplemental food program for women, infants, and children through September 30, 1976.",94,Senate,ROBERT DOLE,R,Referred to Senate Committee on Agriculture and Forestry.,4,24,1975,NA
"A bill to further the purposes of the Wilderness Act by incorporating French Pete Creek and adjacent roadless lands in the Three Sisters Wilderness, Oreg.",94,House,JAMES WEAVER,D,Referred to House Committee on Interior and Insular Affairs.,4,23,1975,NA
"A bill to create a body corporate known as the Daughters of Union Veterans of the Civil War, 1861-1865.",94,House,TOM RAILSBACK,R,Referred to House Committee on the District of Columbia.,4,22,1975,NA
"A bill to provide that certain rural hospitals shall be exempt for a period of 18 months from the requirements and provisions of title XI of the Social Security Act relating to professional standards review organizations, and from the 1972 amendments to titles XVIII, XIX, and V of such act (and the recently approved regulations relating thereto) on utilization review and utilization control under the medicare, medicaid, and maternal and child health programs; and to provide for a 6-months study of alternative methods of utilization review and utilization control for such hospitals.",94,House,JAMES QUILLEN,R,Referred to House Committee on Interstate and Foreign Commerce.,4,21,1975,NA
Joint resolution proposing an amendment to the Constitution of the United States guaranteeing the right of life to the unborn.,94,House,ROBERT BAUMAN,R,Referred to House Committee on the Judiciary.,4,18,1975,NA
"A bill to authorize establishment of the William Jennings Bryan Birthplace National Historic Site, Salem, Ill., and for other purposes.",94,House,PAUL SIMON,D,Referred to House Committee on Interior and Insular Affairs.,4,17,1975,NA
A bill to make requirements with respect to the disclosure of marital status the same for men and women in matters relating to voting qualifications in Federal elections.,94,House,ROBERT DRINAN,D,Referred to House Committee on House Administration.,4,10,1975,NA
Concurrent resolution in support of International Women's Year 1975.,94,House,ROBERT ROE,D,Referred to House Committee on International Relations.,4,10,1975,NA
"A bill to amend title 38 of the United States Code in order to entitle veterans, widows, and orphans to 45 months of educational assistance.",94,House,GARNER SHRIVER,R,Referred to House Committee on Veterans' Affairs.,4,9,1975,NA
"A bill to insure that each admission to the service academies shall be made without regard to a candidate's sex, race, color, or religious beliefs.",94,House,PIERRE DU PONT,R,Referred to House Committee on Armed Services.,4,8,1975,NA
"A bill to amend the Communications Act of 1934 in order to prohibit the television broadcasting of programs portraying nudity, obscenity, or explicit sexual activity which is offensive to the public taste and morals.",94,House,JOHN HAMMERSCHMIDT,R,Referred to House Committee on Interstate and Foreign Commerce.,4,8,1975,NA
A bill to amend title 38 of the United States Code in order to provide service pension to certain veterans of World War I and pension to the widows of such veterans.,94,House,LOUIS FREY,R,Referred to House Committee on Veterans' Affairs.,4,8,1975,NA
Concurrent resolution expressing the sense of the Congress with respect to International Women's Year.,94,House,JERRY LITTON,D,Referred to House Committee on Post Office and Civil Service.,4,8,1975,NA
A bill to amend the Public Health Service Act to establish a program of Federal financial assistance for research programs respecting human fertility and sterility and the human reproductive process.,94,House,EDWARD KOCH,D,Referred to House Committee on Interstate and Foreign Commerce.,3,26,1975,NA
A bill to amend the Public Health Service Act to establish a program of Federal financial assistance for specialized treatment centers for the study and treatment of problems respecting human fertility and sterility and the human reproductive process.,94,House,EDWARD KOCH,D,Referred to House Committee on Interstate and Foreign Commerce.,3,26,1975,NA
"A bill to amend section 106 of title 38, United States Code, to deem certain service performed by members of the Women's Air Forces Service Pilots to have been active duty for purposes of laws administered by the Veterans' Administration.",94,Senate,BARRY GOLDWATER,R,Referred to Senate Committee on Veterans' Affairs.,3,26,1975,NA
Women's Equal Educational Opportunity Act,94,Senate,CHARLES PERCY,R,Referred to Senate Committee on Labor and Public Welfare.,3,26,1975,NA
"A bill to amend the Internal Revenue Code of 1954 to provide that pensions paid to volunteer firemen or their dependents, or to the widows or other survivors of deceased volunteer firemen, shall not be subject to the income tax.",94,House,RICHARD NOLAN,D,Referred to House Committee on Ways and Means.,3,25,1975,NA
"A bill to provide that certain rural hospitals shall be exempt for a period of 18 months from the requirements and provisions of title XI of the Social Security Act relating to professional standards review organizations, and from the 1972 amendments to titles XVIII, XIX, and V of such act (and the recently approved regulations relating thereto) on utilization review and utilization control under the medicare, medicaid, and maternal and child health programs; and to provide for a 6-month study of alternative methods of utilization review and utilization control for such hospitals.",94,House,KEITH SEBELIUS,R,Referred to House Committee on Ways and Means.,3,24,1975,NA
A joint resolution to authorize and request the President to call a White House Conference on Women in 1976.,94,Senate,DANIEL INOUYE,D,Referred to Senate Committee on Government Operations.,3,24,1975,NA
A bill to designate the birthday of Susan B. Anthony as a legal public holiday.,94,House,JAMES SYMINGTON,D,Referred to House Committee on Post Office and Civil Service.,3,24,1975,NA
"A bill to provide that certain rural hospitals shall be exempt for a period of 18 months from the requirements and provisions of title XI of the Social Security Act relating to professional standards review organizations and from the 1972 amendments of titles XVIII, XIX, and V of such act (and the recently approved regulations relating thereto) on utilization review and utilization control under the medicare, medicaid, and maternal and child health programs; and to provide for a 6 month study of alternative methods of utilization review and utilization control for such hospitals.",94,House,GLENN ENGLISH,D,Referred to House Committee on Interstate and Foreign Commerce.,3,21,1975,NA
A bill to amend title 38 of the United States Code in order to provide service pension to certain veterans of World War I and pension to the widows of such veterans.,94,House,PAUL ROGERS,D,Referred to House Committee on Veterans' Affairs.,3,21,1975,NA
A bill to amend the Internal Revenue Code of 1954 to allow a medical deduction for certain expenses incurred in connection with the birth of a child adopted by the taxpayer.,94,House,DON CLAUSEN,R,Referred to House Committee on Ways and Means.,3,21,1975,NA
Resolution creating a select committee to study the impact and ramifications of the Supreme Court decisions on abortion.,94,House,JAMES HOWARD,D,Referred to House Committee on Rules.,3,21,1975,NA
"A bill to amend title 18 of the United States Code to prohibit certain forms of economic coercion based on religion, race, national origin, sex, or certain other factors.",94,House,ELIZABETH HOLTZMAN,D,Referred to House Committee on the Judiciary.,3,20,1975,NA
"A bill to create a body corporate know as the Daughters of Union Veterans of the Civil War, 1861-65.",94,House,CHARLES THONE,R,Referred to House Committee on the District of Columbia.,3,19,1975,NA
"A bill to amend title 38 of the United States Code so as to entitle veterans of the Mexican border period and of World War I and their widows and children to pension on the same basis as veterans of the Spanish-American War and their widows and children, respectively, and to increase pension rates.",94,House,JOHN MELCHER,D,Referred to House Committee on Veterans' Affairs.,3,19,1975,NA
"A bill to amend chapter 35 of title 38, United States Code, so as to provide educational assistance at secondary school level to eligible widows and wives, without charge to any period of entitlement the wife or widow may have pursuant to sections 1710 and 1711 of this chapter.",94,House,CLAUDE PEPPER,D,Referred to House Committee on Veterans' Affairs.,3,18,1975,NA
"A bill to amend title 38, United States Code, to provide that remarriage of the widows of a veteran after age 60 shall not result in termination of dependency and indemnity compensation.",94,House,CLAUDE PEPPER,D,Referred to House Committee on Veterans' Affairs.,3,18,1975,NA
A bill to amend title 38 of the United States code to provide for a pension of $100 per month for unremarried widows of men awarded a Medal of Honor posthumously.,94,House,CLAUDE PEPPER,D,Referred to House Committee on Veterans' Affairs.,3,18,1975,NA
"A bill to amend title 38 of the United States Code so as to entitle veterans of the Mexican border period and of World War I and their widows and children to pension on the same basis as veterans of the Spanish-American War and their widows and children, respectively, and to increase pension rates.",94,House,CLAUDE PEPPER,D,Referred to House Committee on Veterans' Affairs.,3,18,1975,NA
A bill to amend title 38 of the United States Code in order to provide service pension to certain veterans of World War I and pension to the widows of such veterans.,94,House,CLAUDE PEPPER,D,Referred to House Committee on Veterans' Affairs.,3,18,1975,NA
A bill to provide for the issuance of a commemorative postage stamp in honor of the first enlisted women in the U.S. Armed Forces.,94,House,J. BURKE,R,Referred to House Committee on Post Office and Civil Service.,3,18,1975,NA
"A bill to amend title II of the Social Security Act to eliminate the special dependency requirements for entitlement to husband's and widower's insurance benefits, to provide benefits for widowed fathers with minor children, and to make certain other changes so that benefits for husband, widowers, and fathers will be payable on the same basis as benefits for wives, widows, and mothers.",94,Senate,DANIEL INOUYE,D,Referred to Senate Committee on Finance.,3,18,1975,NA
"A bill to amend the Internal Revenue Code of 1954 to provide that pensions paid to retired policemen or firemen or their dependents, or to the widows or other survivors of deceased policemen or firemen, shall not be subject to the income tax.",94,House,JAMES OBERSTAR,D,Referred to House Committee on Ways and Means.,3,17,1975,NA
"A bill to designate the birthday of Susan B. Anthony, as a legal public holiday.",94,House,JAMES SYMINGTON,D,Referred to House Committee on Post Office and Civil Service.,3,14,1975,NA
Joint resolution proposing an amendment to the Constitution of the United States for the protection of unborn children.,94,House,DONALD MITCHELL,R,Referred to House Committee on the Judiciary.,3,13,1975,NA
Maternal and Child Health and Crippled Children's Services and Medicaid Cost Control Amendments,94,House,HARLEY STAGGERS,D,Referred to House Committee on Interstate and Foreign Commerce.,3,12,1975,NA
"A bill to provide that certain rural hospitals shall be exempt for a period of 18 months from the requirements and provisions of title XI of the Social Security Act relating to professional standards review organizations, and from the 1972 amendments to titles XVII, XIX, and V of such act (and the recently approved regulations thereto) on utilization review and utilization control under the medicare, medicaid, and maternal and child health programs; and to provide for a 6-month study of alternative methods of utilization review and utilization control for such hospitals.",94,House,JOHN HAMMERSCHMIDT,R,Referred to House Committee on Interstate and Foreign Commerce.,3,12,1975,NA
"A bill to amend title 38 of the United States so as to entitle veterans of the Mexican border period and of World War I and their widows and children to pension on the same basis as veterans of the Spanish-American War and their widows and children, respectively, and to increase pension rates.",94,House,WRIGHT PATMAN,D,Referred to House Committee on Veterans' Affairs.,3,12,1975,NA
A bill to amend title XVIII of the Social Security Act to provide for coverage under part B of medicare for routine papanicolaou tests for the diagnosis of uterine cancer.,94,House,CARDISS COLLINS,D,Referred to House Committee on Ways and Means.,3,12,1975,NA
"A bill to amend the Public Health Service Act to provide for research and information projects and programs respecting amniocentesis, to provide for research on other methods of detecting birth defects, to provide assistance for programs of genetic counseling and to provide financial assistance for the performance of amniocentesis on women unable to pay therefor.",94,House,YVONNE BURKE,D,Referred to House Committee on Interstate and Foreign Commerce.,3,12,1975,NA
"A bill to insure that each admission to the service academies shall be made without regard to a candidate's sex, race, color, or religious beliefs.",94,House,BURT TALCOTT,R,Referred to House Committee on Armed Services.,3,12,1975,NA
"A bill to amend the Internal Revenue Code of 1954 to provide that pensions paid to retired policemen or firemen or their dependents, or to the widows or other survivors of deceased policemen or firemen, shall not be subject to the income tax.",94,House,ROBERT ROE,D,Referred to House Committee on Ways and Means.,3,12,1975,NA
Resolution creating a select committee to study the impact and ramifications of the Supreme Court decisions on abortion.,94,House,JACK KEMP,R,Referred to House Committee on Rules.,3,12,1975,NA
A joint resolution providing tribute to the Girl Scouts of America.,94,Senate,BIRCH BAYH,D,Referred to House Committee on Post Office and Civil Service.,3,11,1975,NA
"A bill to liquidate the liability of the United States for the massacre of Sioux Indian men, women, and children at Wounded Knee on December 29, 1890.",94,Senate,JAMES ABOUREZK,D,Referred to Senate Committee on the Judiciary.,3,11,1975,NA
"A bill to amend title II of the Social Security Act to eliminate the special dependency requirements for entitlement to husband's and widower's insurance benefits and to make certain other changes so that benefits for husbands and widowers will be payable on the same basis as benefits for wives and widows, and to provide benefits for widowed fathers with minor children on the same basis as benefits for widowed mothers with minor children.",94,House,ALAN STEELMAN,R,Referred to House Committee on Ways and Means.,3,10,1975,NA
A bill to amend title II of the Social Security Act to provide benefits for widowed fathers with minor children on the same basis as benefits for widowed mothers with minor children.,94,House,JOHN DUNCAN,R,Referred to House Committee on Ways and Means.,3,10,1975,NA
A bill to amend title II of the Social Security Act to provide that the earnings test shall not apply in the case of a widow with minor children who is entitled to mother's insurance benefits.,94,House,JOHN DUNCAN,R,Referred to House Committee on Ways and Means.,3,10,1975,NA
Joint resolution to authorize and request the President to call a White House Conference on Women in 1976.,94,House,PATSY MINK,D,Referred to House Committee on Government Operations.,3,10,1975,NA
"A bill to designate certain lands in the Parker River National Wildlife Refuge, Essex County, Mass., as wilderness.",94,Senate,HENRY JACKSON,D,Referred to Senate Committee on Interior and Insular Affairs.,3,7,1975,NA
"A bill to amend title 38, of the United States Code in order to provide service pension to certain veterans of World War I and pension to the widows of such veterans.",94,House,LOUIS FREY,R,Referred to House Committee on Veterans' Affairs.,3,6,1975,NA
A bill to amend title II of the Social Security Act to reduce from 20 to 5 years the length of time a divorced woman's marriage to an insured individual must have lasted in order for her to qualify for wife's or widow's benefits on his wage record.,94,House,BELLA ABZUG,D,Referred to House Committee on Ways and Means.,3,6,1975,NA
"A bill to amend title II of the Social Security Act to permit the payment of benefits to a married couple on their combined earnings record, to eliminate the special dependency requirement for entitlement to husband's or widower's benefits, to provide for the payment of benefits to widowed fathers with minor children, and to make the retirement test inapplicable to individuals with minor children who are entitled to mother's or father's benefits.",94,House,BELLA ABZUG,D,Referred to House Committee on Ways and Means.,3,6,1975,NA
A bill to provide a remedy for sex and marital status discrimination by the insurance business with respect to the availability and scope of insurance coverage for women.,94,House,BELLA ABZUG,D,Referred to House Committee on Interstate and Foreign Commerce.,3,6,1975,NA
A bill to provide equality of treatment for married women employees of the Federal Government under the Foreign Service Act of 1946.,94,House,BELLA ABZUG,D,Referred to House Committee on Foreign Affairs (Subsequently: International Relations).,3,6,1975,NA
A bill to establish a committee to be known as the International Women's Year American Women's Conference Planning Committee.,94,House,BELLA ABZUG,D,Referred to House Committee on Government Operations.,3,6,1975,NA
Joint resolution designating August 26 of each year as Women's Equality Day.,94,House,BELLA ABZUG,D,Referred to House Committee on Post Office and Civil Service.,3,6,1975,NA
Joint resolution designating August 26 of each year as Women's Equality Day.,94,House,BELLA ABZUG,D,Referred to House Committee on Post Office and Civil Service.,3,6,1975,NA
